,actors,awards,box_office,country,director,dvd,genre,imdb_id,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,ratings,released,response,runtime,title,total_seasons,type,website,writer,year
133,"Hayden Christensen, Jamie Bell, Rachel Bilson, Diane Lane",2 wins & 4 nominations.,N/A,"USA, Canada",Doug Liman,N/A,"Action, Adventure, Sci-Fi, Thriller",tt0489099,6.1,"283,957","English, Italian, Japanese, Mandarin",35,A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,https://m.media-amazon.com/images/M/MV5BMjEwOTkyOTI3M15BMl5BanBnXkFtZTcwNTQxMjU1MQ@@._V1_SX300.jpg,"New Regency Pictures, Hypnotic",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.1/10'}, {'source': 'Rotten Tomatoes', 'value': '15%'}, {'source': 'Metacritic', 'value': '35/100'}]",14 Feb 2008,True,88 min,Jumper,,movie,N/A,"David S. Goyer (screenplay), Jim Uhls (screenplay), Simon Kinberg (screenplay), Steven Gould (novel)",2008
134,"Sam Spruell, Peter Stebbings, Christian Camargo, Roman Podhora",1 win & 2 nominations.,N/A,"UK, Germany, Canada, USA",Kathryn Bigelow,N/A,"Drama, History, Thriller, War",tt0267626,6.7,"59,003","English, Russian",58,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",https://m.media-amazon.com/images/M/MV5BMWY2YjIwNDAtYjQwOC00YjY5LTk2MDUtMjY4ZDdiMjdlNjIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"First Light Production, New Regency Pictures, Palomar, National Geographic Society",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}, {'source': 'Rotten Tomatoes', 'value': '61%'}, {'source': 'Metacritic', 'value': '58/100'}]",19 Jul 2002,True,138 min,K-19: The Widowmaker,,movie,N/A,"Louis Nowra (story), Christopher Kyle (screenplay)",2002
135,"Shah Rukh Khan, Preity Zinta, Saif Ali Khan, Jaya Bachchan",40 wins & 41 nominations.,N/A,India,Nikkhil Advani,N/A,"Comedy, Drama, Musical, Romance",tt0347304,8.0,"62,533",Hindi,54,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",https://m.media-amazon.com/images/M/MV5BYmVjNDIxODAtNWZiZi00ZDBlLWJmOTUtNDNjMGExNTViMzE1XkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_SX300.jpg,Dharma Productions,Not Rated,"[{'source': 'Internet Movie Database', 'value': '8.0/10'}, {'source': 'Rotten Tomatoes', 'value': '70%'}, {'source': 'Metacritic', 'value': '54/100'}]",28 Nov 2003,True,186 min,Kal ho naa ho,,movie,N/A,"Niranjan Iyengar (dialogue), Karan Johar (screenplay), Karan Johar (story)",2003
136,"Ben Stiller, Edward Norton, Jenna Elfman, Anne Bancroft",2 wins & 6 nominations.,N/A,USA,Edward Norton,N/A,"Comedy, Drama, Romance",tt0171433,6.3,"49,502","English, Hebrew, Spanish",60,"Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance.",https://m.media-amazon.com/images/M/MV5BMTMxNzg3MzQ3Nl5BMl5BanBnXkFtZTYwOTY4Nzc5._V1_SX300.jpg,"Triple Threat, Spyglass Entertainment",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.3/10'}, {'source': 'Rotten Tomatoes', 'value': '69%'}, {'source': 'Metacritic', 'value': '60/100'}]",14 Apr 2000,True,128 min,Keeping the Faith,,movie,N/A,Stuart Blumberg,2000
137,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss",19 wins & 61 nominations.,N/A,"UK, USA, China",Matthew Vaughn,N/A,"Action, Comedy, Crime",tt1250777,7.6,"520,953",English,66,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_SX300.jpg,"Marv Films, Plan B Entertainment",R,"[{'source': 'Internet Movie Database', 'value': '7.6/10'}, {'source': 'Rotten Tomatoes', 'value': '76%'}, {'source': 'Metacritic', 'value': '66/100'}]",16 Apr 2010,True,117 min,Kick-Ass,,movie,N/A,"Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",2010
138,"Aaron Taylor-Johnson, Chloë Grace Moretz, Morris Chestnut, Claudia Lee",1 win & 7 nominations.,N/A,"UK, USA, Japan",Jeff Wadlow,N/A,"Action, Comedy, Crime, Thriller",tt1650554,6.5,"252,859",English,41,"Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.",https://m.media-amazon.com/images/M/MV5BMTQ4OTQxNzc0N15BMl5BanBnXkFtZTcwOTQxOTU5OQ@@._V1_SX300.jpg,Matthew Vaughn,R,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}, {'source': 'Rotten Tomatoes', 'value': '32%'}, {'source': 'Metacritic', 'value': '41/100'}]",16 Aug 2013,True,103 min,Kick-Ass 2,,movie,N/A,"Jeff Wadlow (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",2013
139,"William Shatner, Hal Holbrook, Van Johnson, Ava Gardner",2 nominations.,N/A,"Canada, USA",George Mendeluk,N/A,Thriller,tt0080997,5.4,374,English,N/A,"A South American quasi-revolutionary/guerilla/terrorist and a misled, admiring girl compatriot manage to kidnap the U.S. President during a diplomatic visit to Toronto. With a nondescript ...",https://m.media-amazon.com/images/M/MV5BNTgzNjI1MzItZmYwNi00OGQyLTgxNzEtZDFmMWRmOTM0NGRkXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,N/A,R,"[{'source': 'Internet Movie Database', 'value': '5.4/10'}, {'source': 'Rotten Tomatoes', 'value': '36%'}]",15 Aug 1980,True,114 min,The Kidnapping of the President,,movie,N/A,"Richard Murphy (screenplay by), Charles Templeton (based on the book by)",1980
140,"Dave Foley, Bruce McCulloch, Kevin McDonald, Mark McKinney",5 nominations.,N/A,"Canada, USA",Kelly Makin,N/A,Comedy,tt0116768,6.9,"8,127",English,55,"A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.",https://m.media-amazon.com/images/M/MV5BZDJlZDE4N2UtMjhjMC00ZWYyLWFiNjItZjI1NjY0MDE3YjE4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Lakeshore Entertainment,R,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}, {'source': 'Rotten Tomatoes', 'value': '42%'}, {'source': 'Metacritic', 'value': '55/100'}]",19 Apr 1996,True,89 min,Kids in the Hall: Brain Candy,,movie,N/A,"Norm Hiscock, Bruce McCulloch, Kevin McDonald, Mark McKinney, Scott Thompson",1996
141,"Shahid Kapoor, Vidya Balan, Vishal Malhotra, Om Puri",N/A,N/A,India,Aziz Mirza,N/A,"Comedy, Drama, Romance",tt1105733,5.2,"5,010",Hindi,N/A,"A luckless architect discovers a social activist to be his lucky charm. Unfortunately, she's protecting the community center he's aiming to win a contract to tear down.",https://m.media-amazon.com/images/M/MV5BNTU2MTUwMjU2NV5BMl5BanBnXkFtZTcwOTE5NTk5Mw@@._V1_SX300.jpg,N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '5.2/10'}, {'source': 'Rotten Tomatoes', 'value': '37%'}]",18 Jul 2008,True,153 min,Kismat Konnection,,movie,N/A,"Sanjay Chhel, Sai Kabir (screenplay & dialogue), Ashish Kariya (dialogue), Rahila Mirza (story), Vibha Singh (screenplay)",2008
142,"Abigail Breslin, Julia Ormond, Chris O'Donnell, Jane Krakowski",2 wins & 5 nominations.,N/A,"USA, Canada",Patricia Rozema,N/A,"Comedy, Drama, Family",tt0846308,6.5,"5,511",English,63,"Set in Cincinnati at the height of the Great Depression, Kit Kittredge, a resourceful young girl, helps her mother run a boardinghouse after her father loses his job.",https://m.media-amazon.com/images/M/MV5BMTIxOTExNTU2OF5BMl5BanBnXkFtZTcwMDAwODU2MQ@@._V1_SX300.jpg,"HBO Films, New Line Cinema",G,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}, {'source': 'Rotten Tomatoes', 'value': '80%'}, {'source': 'Metacritic', 'value': '63/100'}]",02 Jul 2008,True,101 min,Kit Kittredge: An American Girl,,movie,N/A,"Ann Peacock, Valerie Tripp (Kit Kittredge stories)",2008
143,"Barry Pepper, Andy Davoli, Seth Green, Vin Diesel",2 nominations.,N/A,USA,"Brian Koppelman, David Levien",N/A,"Crime, Drama, Thriller",tt0211465,6.1,"22,577",English,30,"The wannabe sons of mobsters go to a remote town in the Midwest, and get themselves into more trouble than anyone could anticipate.",https://m.media-amazon.com/images/M/MV5BMTM0OTA1NzY2Ml5BMl5BanBnXkFtZTYwMDI4NDU3._V1_SX300.jpg,Lawrence Bender Productions,R,"[{'source': 'Internet Movie Database', 'value': '6.1/10'}, {'source': 'Rotten Tomatoes', 'value': '21%'}, {'source': 'Metacritic', 'value': '30/100'}]",11 Oct 2002,True,92 min,Knockaround Guys,,movie,N/A,"Brian Koppelman, David Levien",2001
144,"Tim Meadows, Karyn Parsons, Billy Dee Williams, John Witherspoon",1 nomination.,N/A,USA,Reginald Hudlin,N/A,Comedy,tt0213790,5.2,"12,336",English,22,The Saturday Night Live (1975) character gets a big screen treatment.,https://m.media-amazon.com/images/M/MV5BYTBjNzU5YmQtN2JhNi00ODA4LTg5MDctMmVhYTQwOTE5OTA2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,SNL Studios,R,"[{'source': 'Internet Movie Database', 'value': '5.2/10'}, {'source': 'Rotten Tomatoes', 'value': '11%'}, {'source': 'Metacritic', 'value': '22/100'}]",13 Oct 2000,True,84 min,The Ladies Man,,movie,N/A,"Tim Meadows, Dennis McNicholas, Andrew Steele",2000
145,"Simon Baker, John Leguizamo, Dennis Hopper, Asia Argento",2 wins & 15 nominations.,N/A,"France, Canada, USA",George A. Romero,N/A,"Horror, Sci-Fi, Thriller",tt0418819,6.2,"91,180","English, Spanish, Italian, Polish, French",71,"The living dead have taken over the world, and the last humans live in a walled city to protect themselves as they come to grips with the situation.",https://m.media-amazon.com/images/M/MV5BNzU1MDI1NDM1NF5BMl5BanBnXkFtZTcwMzU5OTkyMQ@@._V1_SX300.jpg,Atmosphere Entertainment MM LLC,R,"[{'source': 'Internet Movie Database', 'value': '6.2/10'}, {'source': 'Rotten Tomatoes', 'value': '74%'}, {'source': 'Metacritic', 'value': '71/100'}]",24 Jun 2005,True,93 min,Land of the Dead,,movie,N/A,George A. Romero,2005
146,"Albert Nerenberg, Rob Spence, Colin Mochrie, Dan Aykroyd",N/A,N/A,Canada,"Albert Nerenberg, Rob Spence",N/A,Documentary,tt1135977,6.0,88,English,N/A,"Inspired by the unguarded animosity that the mere mention of Toronto incites among the majority of Canadians, filmmakers Albert Nerenberg and Rob Spence follow a character named ""Mister ...",https://m.media-amazon.com/images/M/MV5BMjE1NzQyNjU1Ml5BMl5BanBnXkFtZTgwMzIyMjA2MDE@._V1_SX300.jpg,N/A,Not Rated,"[{'source': 'Internet Movie Database', 'value': '6.0/10'}, {'source': 'Rotten Tomatoes', 'value': '41%'}]",20 Apr 2007,True,72 min,Let's All Hate Toronto,,movie,N/A,"Albert Nerenberg, Rob Spence (additional writer), Hart Snider (additional writer), Jy Harris (additional material)",2007
147,"Lauren Lee Smith, Eric Balfour, Polly Shannon, Mayko Nguyen",1 win & 2 nominations.,N/A,Canada,Clement Virgo,N/A,"Drama, Romance",tt0418832,5.3,"14,234","English, Spanish",N/A,"An outgoing, sexually aggressive young woman meets and begins a torrid affair with an equally aggressive young man in which their affair begins to bring a strain on their personal lives.",https://m.media-amazon.com/images/M/MV5BMjEwODI3OTI5MV5BMl5BanBnXkFtZTcwMjcwNzA0MQ@@._V1_SX300.jpg,Conquering Lion Productions,Not Rated,"[{'source': 'Internet Movie Database', 'value': '5.3/10'}, {'source': 'Rotten Tomatoes', 'value': '38%'}]",03 Mar 2006,True,93 min,Lie with Me,,movie,N/A,"Tamara Berger, Clement Virgo, Tamara Berger (book), Carrie Paupst Shaughnessy (story editor)",2005
148,"Geena Davis, Samuel L. Jackson, Yvonne Zima, Craig Bierko",3 nominations.,N/A,USA,Renny Harlin,N/A,"Action, Crime, Drama, Mystery, Thriller",tt0116908,6.8,"72,202",English,44,"Samantha Caine lives in a small town with her daughter. Eight years ago she emerged, two months pregnant, from a nearby river with no memory of her past or who she is. However, she's getting closer to finding out about her past.",https://m.media-amazon.com/images/M/MV5BNTkzOWZkN2QtNDJkYy00OTdjLThlNDQtNDg4MjMyMWE5Y2U5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Forge, New Line Cinema",R,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}, {'source': 'Rotten Tomatoes', 'value': '70%'}, {'source': 'Metacritic', 'value': '44/100'}]",11 Oct 1996,True,121 min,The Long Kiss Goodnight,,movie,N/A,Shane Black,1996
149,"Jason Biggs, Mena Suvari, Zak Orth, Thomas Sadoski",1 nomination.,N/A,USA,Amy Heckerling,N/A,"Comedy, Romance",tt0217630,5.3,"26,373",English,35,"A college student, branded a loser by his roommates and booted from the dorm, falls in love with a coed who has eyes for their condescending professor.",https://m.media-amazon.com/images/M/MV5BMTY1MDE5MTc5Nl5BMl5BanBnXkFtZTYwNzIzMzE3._V1_SX300.jpg,"Branti Film Productions, Cockamamie",PG-13,"[{'source': 'Internet Movie Database', 'value': '5.3/10'}, {'source': 'Rotten Tomatoes', 'value': '24%'}, {'source': 'Metacritic', 'value': '35/100'}]",21 Jul 2000,True,98 min,Loser,,movie,N/A,Amy Heckerling,2000
150,"Jessica Simpson, Kanye West, Mike Myers, Deepak Chopra",5 wins & 8 nominations.,N/A,"UK, Germany, USA",Marco Schnabel,N/A,"Comedy, Romance, Sport",tt0811138,3.8,"50,076",English,24,"Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hockey player whose wife left him for a rival athlete.",https://m.media-amazon.com/images/M/MV5BMTg3OTY1MTQ3MF5BMl5BanBnXkFtZTcwMDIzMTM3MQ@@._V1_SX300.jpg,"Nomoneyfun Films, Michael De Luca",PG-13,"[{'source': 'Internet Movie Database', 'value': '3.8/10'}, {'source': 'Rotten Tomatoes', 'value': '14%'}, {'source': 'Metacritic', 'value': '24/100'}]",20 Jun 2008,True,87 min,The Love Guru,,movie,N/A,"Mike Myers, Graham Gordy",2008
151,"Samuel L. Jackson, Eugene Levy, Miguel Ferrer, Luke Goss",1 win & 1 nomination.,N/A,"USA, Germany",Les Mayfield,N/A,"Action, Comedy, Crime",tt0399327,5.6,"24,536",English,33,"Special Agent Derrick Vann is a man out to get the man who killed his partner, but a case of mistaken identity leads him to Andy Fiddler, a salesman with too many questions and a knack of getting in Vann's way.",https://m.media-amazon.com/images/M/MV5BODcwMDU0NjU3NF5BMl5BanBnXkFtZTYwOTI3MDc2._V1_SX300.jpg,Fried Films,PG-13,"[{'source': 'Internet Movie Database', 'value': '5.6/10'}, {'source': 'Rotten Tomatoes', 'value': '12%'}, {'source': 'Metacritic', 'value': '33/100'}]",09 Sep 2005,True,83 min,The Man,,movie,N/A,"Jim Piddock (screenplay), Margaret Oberman (screenplay), Stephen Carpenter (screenplay), Jim Piddock (story), Margaret Oberman (story)",2005
152,"Robin Williams, Christopher Walken, Laura Linney, Lewis Black",1 nomination.,N/A,USA,Barry Levinson,N/A,"Comedy, Drama, Romance, Thriller",tt0483726,6.2,"31,810",English,39,"A comedian who hosts a news satire program decides to run for president, and a computerized voting machine malfunction gets him elected.",https://m.media-amazon.com/images/M/MV5BMTM0NzQxMjk0OV5BMl5BanBnXkFtZTcwMDUyNDgzMQ@@._V1_SX300.jpg,"Universal Pictures, Morgan Creek Productions",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.2/10'}, {'source': 'Rotten Tomatoes', 'value': '22%'}, {'source': 'Metacritic', 'value': '39/100'}]",13 Oct 2006,True,115 min,Man of the Year,,movie,N/A,Barry Levinson,2006
153,"Jessie Matthews, Ian Hunter, Frederick Kerr, Ben Field",N/A,N/A,UK,Sinclair Hill,03 Sep 2013,"Comedy, Romance",tt0024298,7.1,86,English,N/A,The rich widow Leila disguises herself as a maid and falls in love with her employer Fergus who is a rich Canadian bachelor. Their wealth depends on each getting married within the next year. Whose fooling who in this comedy love affair?,https://m.media-amazon.com/images/M/MV5BNWU5NWQyODQtNzNmNi00ZWZmLTk2NGQtMTRjZmM3OWYyNGE1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTE1NDUzNg@@._V1_SX300.jpg,VCI Entertainment,N/A,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}]",N/A,True,77 min,The Man from Toronto,,movie,N/A,"W.P. Lipscomb (screenplay), Douglas Murray (play)",1933
154,"Sigourney Weaver, Dara Perlmutter, David Strathairn, Kayla Perlmutter",Nominated for 1 Golden Globe. Another 3 wins & 5 nominations.,N/A,"USA, Germany",Scott Elliott,N/A,Drama,tt0160513,6.7,"3,819",English,65,A woman's life falls apart after she's blamed for an accident on her property.,https://m.media-amazon.com/images/M/MV5BMzg1Y2FkZjUtNWUyZC00MjVjLThjNjItOTE1NWExOWJmNjU1XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"First Look International, Overseas Film Group",R,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}, {'source': 'Rotten Tomatoes', 'value': '65%'}, {'source': 'Metacritic', 'value': '65/100'}]",21 Jan 2000,True,125 min,A Map of the World,,movie,N/A,"Jane Hamilton (novel), Peter Hedges (screenplay), Polly Platt (screenplay)",1999
155,"Mark Wahlberg, Mila Kunis, Beau Bridges, Ludacris",1 nomination.,N/A,"USA, Canada",John Moore,N/A,"Action, Crime, Drama, Thriller",tt0467197,5.4,"121,108","English, Russian, Spanish",31,"Coming together to solve a series of murders in New York City are a police detective and an assassin, who will be hunted by the police, the mob, and a ruthless corporation.",https://m.media-amazon.com/images/M/MV5BNzM5OTAxYmQtODRkZC00ZGZlLTlhNzYtNzFiODVjMTY4MWU2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"Firm Films, Depth Entertainment",PG-13,"[{'source': 'Internet Movie Database', 'value': '5.4/10'}, {'source': 'Rotten Tomatoes', 'value': '16%'}, {'source': 'Metacritic', 'value': '31/100'}]",17 Oct 2008,True,100 min,Max Payne,,movie,N/A,"Beau Thorne (screenplay), Sam Lake (video game by Remedy Entertainment and 3-D Realms Entertainment)",2008
156,"Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",7 wins & 25 nominations.,N/A,"USA, Canada",Mark Waters,N/A,Comedy,tt0377092,7.0,"327,949","English, German, Vietnamese, Swahili",66,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",https://m.media-amazon.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg,"Paramount Pictures, M.G.Films",PG-13,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}, {'source': 'Rotten Tomatoes', 'value': '84%'}, {'source': 'Metacritic', 'value': '66/100'}]",30 Apr 2004,True,97 min,Mean Girls,,movie,N/A,"Rosalind Wiseman (book), Tina Fey (screenplay)",2004
157,"Lola Tash, Charlie Carrick, Krista Bridges, Rob Stewart",2 nominations.,N/A,Canada,Sara St. Onge,N/A,"Drama, Romance",tt2388705,6.3,"2,002",English,N/A,"At Phoenix Progressive School, where everyone tries to outdo each other with creative self-expression, 16-year-old Molly Maxwell (Lola Tash) would rather be invisible than risk revealing ...",https://m.media-amazon.com/images/M/MV5BMTk1MTExODU3Ml5BMl5BanBnXkFtZTcwMjg0NDExOQ@@._V1_SX300.jpg,N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '6.3/10'}, {'source': 'Rotten Tomatoes', 'value': '49%'}]",06 Jan 2013,True,90 min,Molly Maxwell,,movie,N/A,Sara St. Onge,2013
158,"James B. Douglas, Molly Parker, Paul Gross, Barbara Gordon",1 win & 10 nominations.,N/A,Canada,Paul Gross,N/A,"Comedy, Drama, Romance, Sport",tt0263734,5.7,"4,209","English, American Sign Language, German",N/A,Four men take time from their personal problems to reunite as a curling team and compete in a bonspiel that will restore their honour.,https://m.media-amazon.com/images/M/MV5BZjU1ZGMwNTYtYzE0My00MDExLTkzZDYtOWFlZDkyZDdhMTgwXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_SX300.jpg,Serendipity Point Films,R,"[{'source': 'Internet Movie Database', 'value': '5.7/10'}, {'source': 'Rotten Tomatoes', 'value': '55%'}]",22 Nov 2002,True,102 min,Men with Brooms,,movie,N/A,"Paul Gross (story), Graham Wagner (story editor), John Krizanc (story), Paul Quarrington (story), Paul Gross (screenplay), John Krizanc (screenplay)",2002
159,"Mira Sorvino, Jeremy Northam, Alexander Goodwin, Giancarlo Giannini",3 wins & 8 nominations.,N/A,USA,Guillermo del Toro,N/A,"Horror, Sci-Fi",tt0119675,6.0,"45,499","English, Italian",55,"Three years ago, entomologist Dr. Susan Tyler genetically created an insect to kill cockroaches carrying a virulent disease. Now, the insects are out to destroy their only predator, mankind.",https://m.media-amazon.com/images/M/MV5BODk4MjRkODctOTVjNS00MmI2LTg0Y2ItMWQyMzdkZDU3MzMyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"Miramax Films, Dimension Films",R,"[{'source': 'Internet Movie Database', 'value': '6.0/10'}, {'source': 'Rotten Tomatoes', 'value': '64%'}, {'source': 'Metacritic', 'value': '55/100'}]",22 Aug 1997,True,105 min,Mimic,,movie,N/A,"Donald A. Wollheim (short story ""Mimic""), Matthew Robbins (screen story), Guillermo del Toro (screen story), Matthew Robbins (screenplay), Guillermo del Toro (screenplay)",1997
160,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis",Won 3 Oscars. Another 15 wins & 19 nominations.,N/A,USA,Norman Jewison,N/A,"Comedy, Drama, Romance",tt0093565,7.1,"48,854","English, Italian, Latin",83,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",https://m.media-amazon.com/images/M/MV5BMjIwMDY0NzYyMF5BMl5BanBnXkFtZTcwOTE5NDk0NA@@._V1_SX300.jpg,Metro Goldwyn Mayer,PG,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}, {'source': 'Rotten Tomatoes', 'value': '93%'}, {'source': 'Metacritic', 'value': '83/100'}]",15 Jan 1988,True,102 min,Moonstruck,,movie,N/A,John Patrick Shanley,1987
161,"Shirley MacLaine, Ricki Lake, Brendan Fraser, Miguel Sandoval",1 nomination.,N/A,USA,Richard Benjamin,N/A,"Comedy, Drama, Romance",tt0117104,6.2,"6,795",English,35,Connie Doyle is eighteen and pregnant when her boyfriend kicks her out. She accidentally ends up on a train where she meets Hugh Winterbourne and his wife Patricia who is pregnant. The ...,https://m.media-amazon.com/images/M/MV5BNjg3Mzg5Y2UtNzQ5Yy00NGY4LTk5M2QtZGE1NmZkZTBlZmEwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"TriStar Pictures, A&amp;M Films",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.2/10'}, {'source': 'Rotten Tomatoes', 'value': '10%'}, {'source': 'Metacritic', 'value': '35/100'}]",19 Apr 1996,True,105 min,Mrs. Winterbourne,,movie,N/A,"Cornell Woolrich (novel), Phoef Sutton (screenplay), Lisa-Maria Radano (screenplay)",1996
162,"Wesley Snipes, Diane Lane, Daniel Benzali, Dennis Miller",N/A,N/A,USA,Dwight H. Little,N/A,"Action, Crime, Drama, Mystery, Thriller",tt0119731,6.1,"28,061",English,47,A young woman is murdered in the White House. Homicide detective Regis (Wesley Snipes) investigates while Secret Service works against him. He's assigned agent Chance (Diane Lane). She eventually cooperates after a man's framed.,https://m.media-amazon.com/images/M/MV5BN2EyYTAyNjAtNGQ3MC00NTE0LThmNGItN2Q4MWY2YzMyYzczXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Warner Bros.,R,"[{'source': 'Internet Movie Database', 'value': '6.1/10'}, {'source': 'Rotten Tomatoes', 'value': '33%'}, {'source': 'Metacritic', 'value': '47/100'}]",18 Apr 1997,True,107 min,Murder at 1600,,movie,N/A,"Wayne Beach, David Hodgin",1997
163,"Poppy Montgomery, David Sutcliffe, Peter Outerbridge, Donna Goodhand",N/A,N/A,Canada,Jerry Ciccoritti,N/A,"Drama, Mystery",tt0461688,5.9,568,English,N/A,"When multi-millionaire Ted Ammon is found bludgeoned to death at his East Hampton estate, suspicion falls on his estranged wife, Generosa Rand, and her lover, Danny Pelosi.",https://m.media-amazon.com/images/M/MV5BMTQ1MzM0MTI3N15BMl5BanBnXkFtZTcwMzUyOTYzMQ@@._V1_SX300.jpg,Muse Entertainment Enterprises,Not Rated,"[{'source': 'Internet Movie Database', 'value': '5.9/10'}, {'source': 'Rotten Tomatoes', 'value': '37%'}]",11 Jul 2005,True,88 min,Million Dollar Murder,,movie,N/A,"Robert L. Freedman (teleplay), Michael Shnayerson (article)",2005
164,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira",Nominated for 1 Oscar. Another 20 wins & 28 nominations.,N/A,"Canada, USA",Joel Zwick,N/A,"Comedy, Drama, Romance",tt0259446,6.5,"118,768","English, Greek",62,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,https://m.media-amazon.com/images/M/MV5BNzcwOWU4NGEtYjUyMy00MDNlLThiN2MtYzFlMjk4Y2FhNjlmXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"Playtone Productions, Gold Circle Films, MPH, Home Box Office (HBO)",PG,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}, {'source': 'Rotten Tomatoes', 'value': '76%'}, {'source': 'Metacritic', 'value': '62/100'}]",02 Aug 2002,True,95 min,My Big Fat Greek Wedding,,movie,N/A,Nia Vardalos,2002
165,"Dan Leis, Jason Patric, Lloyd Adams, Meagan Issa",1 win & 8 nominations.,N/A,"USA, Canada, Germany",Joe Carnahan,N/A,"Crime, Drama, Mystery, Thriller",tt0272207,7.1,"37,986","English, Spanish",70,When the trail goes cold on a murder investigation of a policeman an undercover narcotics officer is lured back to the force to help solve the case.,https://m.media-amazon.com/images/M/MV5BYjVhMWI2ZjgtNzNiNy00Mjc2LTljZDQtNGYwMzYwMTlhZGFhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Paramount,R,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}, {'source': 'Rotten Tomatoes', 'value': '84%'}, {'source': 'Metacritic', 'value': '70/100'}]",10 Jan 2003,True,105 min,Narc,,movie,N/A,Joe Carnahan,2002
